Payor Name,Corporate Name
FEDERAL ABSTRACT CO,FEDERAL ABSTRACT CO
FERVO ENERGY,FERVO ENERGY CO
FIDELITY EXPLR & PRODUCTION CO,MDU RESOURCES GROUP INC
FIELDWOOD ENERGY INC,QUARTERNORTH ENERGY LLC
FIELDWOOD ENERGY IV LLC,QUARTERNORTH ENERGY LLC
FIELDWOOD ENERGY OFFSHORE LLC,QUARTERNORTH ENERGY LLC
FIELDWOOD SD OFFSHORE LLC,QUARTERNORTH ENERGY LLC
FINLEY RESOURCES INC,FINLEY RESOURCES INC
FLAT CREEK RESOURCES LLC,FLAT CREEK RESOURCES LLC
FLAT ROCK DEVELOPMENT LLC,FLAT ROCK DEVELOPMENT LLC
FLEXTREND DEVELOPMENT CO LLC,FLEXTREND DEVELOPMENT CO LLC
FLINT HILLS RESOURCES LP,KOCH INDUSTRIES INC
FLYWHEEL ENERGY PRODUCTION LLC,FLYWHEEL ENERGY LLC
FMC CORPORATION,FMC CORP
FOCUS EXPLORATIONLLC,FOCUS EXPLORATION LLC
FOOTHILLS EXPLORATION LLC,FOOTHILLS EXPLORATION LLC
FORESTAR PETROLEUM CORPORATION,FORESTAR PETROLEUM CORP
FORTY ACRES ENERGY,FORTY ACRES ENERGY LLC
FOSSIL ROCK RESOURCES LLC,FOSSIL CREEK RESOURCES LLC
FOUNDATION ENERGY FUND III-B HOLDING LLC,FOUNDATION ENERGY MANAGEMENT
FOUNDATION ENERGY FUND IV-A LP,FOUNDATION ENERGY MANAGEMENT
FOUNDATION ENERGY FUND V-B HOLDINGLLC,FOUNDATION ENERGY MANAGEMENT
FOUNDATION ENERGY MANAGEMENT,FOUNDATION ENERGY MANAGEMENT
FOUR CORNERS ENERGY LLC,FOUR CORNERS ENERGY LLC
FPR PINEDALE LLC,FREEPOINT COMMODITIES HOLDINGS LLC
FRAM OPERATINGLLC,FRAM OPERATING LLC
FRANCONIA MINERALS US LLC,ANTOFAGASTA PLC
FRANKLIN MOUNTAIN ENERGY LLC,FRANKLIN MOUNTAIN ENERGY LLC
FREEPORT MCMORAN OIL AND GAS LLC,MCMORAN EXPLORATION CO
FREEPORT-MCMORAN ENERGY LLC,MCMORAN EXPLORATION CO
FREEPORT-MCMORAN SULPHUR LLC,FREEPORT MCMORAN INC
FRONTIER FIELD SERVICES LLC,DURANGO INVESTMENT HOLDINGS LLC
FUNDARE RESOURCES OPERATING COMPANY LLC,FUNDARE RESOURCES GROUP
G2 LAND SERVICES,G2 LAND SERVICES INC
GAS ACQUISITION CORPORATION,GAS VENTURES LLC
GAS ENTERPRISE COMPANY,GAS VENTURES LLC
GCC ENERGY LLC,GRUPO CEMENTOS DE CHIHUAHUA
GENERAL PRODUCTION SERVICE,GENERAL PRODUCTION SERVICE
GENESIS ALKALI WYOMING L.P.,FMC CORP
GENESIS CRUDE OILLP,GENESIS ENERGY LP
GENTRY MOUNTAIN MINING LLC,GENTRY MOUNTAIN MINING LLC
GEYSERS POWER COMPANY LLC,CALPINE CORP
GMT EXPLORATION COLLC,GMT EXPLORATION CO LLC
GMT EXPLORATION COMPANY LLC,GMT EXPLORATION CO LLC
GOM ENERGY VENTURE I LLC,PEREGRINE OIL & GAS COMPANIES
GOM ENERGY VENTURE III LLC,PEREGRINE OIL & GAS COMPANIES
GOM SHELF LLC,GOM SHELF
GOMEX ENERGY OFFSHORELTD,GOMEX ENERGY OFFSHORE LTD
GONDOLA RESOURCES LLC,GONDOLA RESOURCES LLC
GPO OPERATING LLC,GPO OPERATING LLC
G-R CONTRACTINGINC,G R CONTRACTING INC
GRANT CANYON OIL & GAS LLC,GRANT CANYON OIL & GAS LLC
GRAYSON MILL OPERATING LLC,GRAYSON MILL ENERGY LLC
GRAYSON MILL WILLISTON LLC,GRAYSON MILL ENERGY LLC
GREAT WESTERN DRILLING,GREAT WESTERN DRILLING CO
GREAT WESTERN OPERATING COMPANY LLC,PDC ENERGY LLC
