Fiscal Year,Fund Type,Source,State,Disbursement
1992,State and local governments,Onshore,Montana,"$18,997,697.00 "
1992,State and local governments,Onshore,Nevada,"$7,956,113.00 "
1992,State and local governments,Onshore,New Mexico,"$102,593,751.00 "
1992,State and local governments,Onshore,North Dakota,"$5,199,329.00 "
1992,State and local governments,Onshore,Ohio,"$3,126.00 "
1992,State and local governments,Onshore,Oklahoma,"$1,243,322.00 "
1992,State and local governments,Onshore,Oregon,"$130,204.00 "
1992,State and local governments,Onshore,South Dakota,"$509,693.00 "
1992,State and local governments,Offshore,Texas,"$18,668,325.00 "
1992,State and local governments,Onshore,Texas,"$96,705.00 "
1992,State and local governments,Onshore,Utah,"$32,062,301.00 "
1992,State and local governments,Onshore,Virginia,"$18,678.00 "
1992,State and local governments,Onshore,Washington,"$887,304.00 "
1992,State and local governments,Onshore,Wyoming,"$178,519,452.00 "
1992,U.S. Treasury & Other Government Agencies,,,"$1,624,864,000.00 "
1993,Historic Preservation Fund,Offshore,,"$150,000,000.00 "
1993,Land and Water Conservation Fund,Offshore,,"$900,000,000.00 "
1993,Native American tribes and individuals,Onshore,,"$164,385,000.00 "
1993,Reclamation Fund,Onshore,,"$366,593,000.00 "
1993,State and local governments,Offshore,Alabama,"$7,666,338.00 "
1993,State and local governments,Onshore,Alabama,"$808,402.00 "
1993,State and local governments,Offshore,Alaska,"$9,550,625.00 "
1993,State and local governments,Onshore,Alaska,"$6,940,595.00 "
1993,State and local governments,Onshore,Arizona,"$97,042.00 "
1993,State and local governments,Onshore,Arkansas,"$1,537,410.00 "
1993,State and local governments,Offshore,California,"$24,394,813.00 "
1993,State and local governments,Onshore,California,"$22,083,858.00 "
1993,State and local governments,Onshore,Colorado,"$35,915,757.00 "
1993,State and local governments,Offshore,Florida,"$19,243.00 "
1993,State and local governments,Onshore,Florida,"$102,290.00 "
1993,State and local governments,Onshore,Georgia,$102.00 
1993,State and local governments,Onshore,Idaho,"$2,236,299.00 "
1993,State and local governments,Onshore,Illinois,"$191,049.00 "
1993,State and local governments,Onshore,Indiana,$99.00 
1993,State and local governments,Onshore,Kansas,"$1,325,007.00 "
1993,State and local governments,Onshore,Kentucky,"$87,053.00 "
1993,State and local governments,Offshore,Louisiana,"$14,451,304.00 "
1993,State and local governments,Onshore,Louisiana,"$782,034.00 "
1993,State and local governments,Onshore,Michigan,"$698,790.00 "
1993,State and local governments,Onshore,Minnesota,"$1,774.00 "
1993,State and local governments,Offshore,Mississippi,"$228,026.00 "
1993,State and local governments,Onshore,Mississippi,"$738,062.00 "
1993,State and local governments,Onshore,Missouri,"$474,778.00 "
1993,State and local governments,Onshore,Montana,"$22,377,870.00 "
1993,State and local governments,Onshore,Nevada,"$8,316,580.00 "
1993,State and local governments,Onshore,New Mexico,"$135,117,670.00 "
1993,State and local governments,Onshore,North Carolina,"$1,053.00 "
1993,State and local governments,Onshore,North Dakota,"$3,325,922.00 "
1993,State and local governments,Onshore,Ohio,"$351,078.00 "
1993,State and local governments,Onshore,Oklahoma,"$2,778,836.00 "
1993,State and local governments,Onshore,Oregon,"$82,180.00 "
1993,State and local governments,Onshore,Pennsylvania,"$19,814.00 "
1993,State and local governments,Onshore,South Carolina,$395.00 
1993,State and local governments,Onshore,South Dakota,"$483,221.00 "
1993,State and local governments,Onshore,Tennessee,$936.00 
1993,State and local governments,Offshore,Texas,"$21,156,460.00 "
1993,State and local governments,Onshore,Texas,"$349,748.00 "
1993,State and local governments,Onshore,Utah,"$31,194,952.00 "
1993,State and local governments,Onshore,Virginia,"$151,408.00 "
1993,State and local governments,Onshore,Washington,"$458,128.00 "
1993,State and local governments,Onshore,West Virginia,"$263,403.00 "
1993,State and local governments,Onshore,Wisconsin,"$1,553.00 "
1993,State and local governments,Onshore,Wyoming,"$186,956,486.00 "
1993,U.S. Treasury & Other Government Agencies,,,"$1,945,730,000.00 "
1994,Historic Preservation Fund,Offshore,,"$150,000,000.00 "
1994,Land and Water Conservation Fund,Offshore,,"$862,208,000.00 "
1994,Native American tribes and individuals,Onshore,,"$172,132,000.00 "
1994,Reclamation Fund,Onshore,,"$410,751,000.00 "
1994,State and local governments,Offshore,Alabama,"$8,429,617.00 "
1994,State and local governments,Onshore,Alabama,"$295,862.00 "
1994,State and local governments,Offshore,Alaska,"$9,518,125.00 "
1994,State and local governments,Onshore,Alaska,"$5,376,765.00 "
1994,State and local governments,Onshore,Arizona,"$93,640.00 "
