Calendar Year,Corporate Name,Revenue Type,Commodity,Revenues
2013,BOPCO LP,BLM - Permit Fees,Oil & Gas,378214.14
2013,BOPCO LP,ONRR - Other Revenues,Oil & Gas,32679.79
2013,BOPCO LP,ONRR - Royalties,Gas,14269898.01
2013,BOPCO LP,ONRR - Royalties,Oil,64404678.25
2013,BOPCO LP,ONRR/BLM - Rents,Oil & Gas,52115
2013,BOREALIS MINING CO,BLM - Permit Fees,Locatable Minerals,105280
2013,BOULDER SAND AND GRAVEL INC,BLM - Permit Fees,Mineral Materials,110160.04
2013,BOWIE RESOURCES LLC,BLM - Permit Fees,Coal,520
2013,BOWIE RESOURCES LLC,BLM - Permit Fees,Oil & Gas,85
2013,BOWIE RESOURCES LLC,ONRR - Other Revenues,Coal,12342.92
2013,BOWIE RESOURCES LLC,ONRR - Royalties,Coal,31416536.58
2013,BOWIE RESOURCES LLC,ONRR/BLM - Bonus,Coal,-118.65
2013,BOWIE RESOURCES LLC,ONRR/BLM - Rents,Coal,-68896.99
2013,BOWIE RESOURCES LLC,OSMRE - AML Fees including Audits and Late Charges ,Coal,1467086.25
2013,BP AMERICA INC,BLM - Permit Fees,Oil & Gas,130935
2013,BP AMERICA INC,ONRR - Civil Penalties,N/A,60000
2013,BP AMERICA INC,ONRR - Inspection Fees,Oil & Gas,1944000
2013,BP AMERICA INC,ONRR - Other Revenues,N/A,214
2013,BP AMERICA INC,ONRR - Other Revenues,Oil & Gas,3004112.56
2013,BP AMERICA INC,ONRR - Royalties,Gas,91086143.07
2013,BP AMERICA INC,ONRR - Royalties,Oil,756069922
2013,BP AMERICA INC,ONRR/BLM - Rents,Oil & Gas,25739425
2013,BRADEN EXPLORATION LLC,ONRR - Other Revenues,Oil & Gas,8264.18
2013,BRADEN EXPLORATION LLC,ONRR - Royalties,Gas,151030.53
2013,BRADEN EXPLORATION LLC,ONRR - Royalties,Oil,145535.48
2013,BRAZOS LP,BLM - Permit Fees,Oil & Gas,1105
2013,BRAZOS LP,ONRR - Royalties,Gas,127211.73
2013,BRAZOS LP,ONRR - Royalties,Oil,80239.21
2013,BREITBURN ENERGY PARTNERS LP,BLM - Permit Fees,Oil & Gas,104265
2013,BREITBURN ENERGY PARTNERS LP,ONRR - Other Revenues,N/A,473.08
2013,BREITBURN ENERGY PARTNERS LP,ONRR - Other Revenues,Oil & Gas,20762.88
2013,BREITBURN ENERGY PARTNERS LP,ONRR - Royalties,Gas,4593520.2
2013,BREITBURN ENERGY PARTNERS LP,ONRR - Royalties,Oil,8393611.8
2013,BREITBURN ENERGY PARTNERS LP,ONRR/BLM - Rents,Oil & Gas,15434.75
